city,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_daily_precipitation,average_max_wind_speed,rainy_days,comfortable_days,excellent_weather_days,average_tourism_score,total_observed_days,rainy_day_percentage,comfortable_day_percentage,excellent_weather_percentage
Cancun,3,March,25.929032258064517,29.077419354838707,23.538709677419355,1.203225806451613,21.083870967741934,30,78,71,2.752688172043011,93,32.25806451612903,83.87096774193549,76.34408602150538
Cancun,4,April,26.355555555555554,29.665555555555557,23.671111111111113,1.1644444444444444,20.238888888888887,19,56,52,2.511111111111111,90,21.11111111111111,62.22222222222222,57.77777777777777
Cancun,5,May,28.13225806451613,31.54516129032258,25.395698924731185,1.6612903225806452,18.886021505376345,24,5,3,1.935483870967742,93,25.806451612903224,5.376344086021505,3.225806451612903
Cancun,6,June,27.883333333333333,31.031111111111112,25.372222222222224,8.206666666666667,18.784444444444443,62,15,0,1.8222222222222222,90,68.88888888888889,16.666666666666664,0.0
Cancun,7,July,28.450537634408605,31.67311827956989,25.76989247311828,4.76989247311828,15.781720430107528,60,2,0,1.7634408602150538,93,64.51612903225806,2.1505376344086025,0.0
Cancun,8,August,28.37956989247312,32.08387096774194,25.408602150537636,4.994623655913978,13.924731182795698,74,6,1,1.7741935483870968,93,79.56989247311827,6.451612903225806,1.0752688172043012
Cancun,9,September,27.745555555555555,31.59,24.90222222222222,7.021111111111111,13.234444444444444,68,10,1,1.7333333333333334,90,75.55555555555556,11.11111111111111,1.1111111111111112
Cancun,10,October,26.759139784946235,30.0752688172043,24.204301075268816,5.339784946236559,15.983870967741936,59,46,32,2.21505376344086,93,63.44086021505376,49.46236559139785,34.40860215053764
Cancun,11,November,25.416666666666668,28.607777777777777,22.793333333333333,4.078888888888889,15.683333333333334,52,82,66,2.688888888888889,90,57.77777777777777,91.11111111111111,73.33333333333333
Cancun,12,December,24.38817204301075,27.338709677419356,22.13010752688172,2.736559139784946,16.456989247311828,36,92,78,2.838709677419355,93,38.70967741935484,98.9247311827957,83.87096774193549
Mexico City,1,January,14.953763440860216,23.19032258064516,7.845161290322581,0.11612903225806452,16.450537634408605,2,67,67,2.7096774193548385,93,2.1505376344086025,72.04301075268818,72.04301075268818
Mexico City,2,February,16.48,25.0,8.772941176470589,0.3247058823529412,17.47529411764706,5,74,74,2.847058823529412,85,5.88235294117647,87.05882352941177,87.05882352941177
Mexico City,3,March,19.186021505376342,27.988172043010753,11.102150537634408,0.3279569892473118,20.786021505376343,7,84,77,2.817204301075269,93,7.526881720430108,90.32258064516128,82.79569892473118
Mexico City,4,April,20.137777777777778,28.42888888888889,12.527777777777779,0.35444444444444445,21.09888888888889,8,73,68,2.7444444444444445,90,8.88888888888889,81.11111111111111,75.55555555555556
Mexico City,5,May,20.8247311827957,28.531182795698925,14.090322580645163,2.6655913978494623,18.761290322580646,37,53,40,2.3655913978494625,93,39.784946236559136,56.98924731182796,43.01075268817204
Mexico City,6,June,19.834444444444443,26.80111111111111,14.004444444444445,6.124444444444445,17.93,50,40,25,2.022222222222222,90,55.55555555555556,44.44444444444444,27.77777777777778
Mexico City,7,July,17.278494623655916,23.210752688172043,12.920430107526881,8.45483870967742,13.879569892473118,77,70,31,2.118279569892473,93,82.79569892473118,75.26881720430107,33.33333333333333
Mexico City,8,August,17.086021505376344,23.137634408602153,12.763440860215054,8.026881720430108,13.682795698924732,84,79,35,2.2688172043010755,93,90.32258064516128,84.94623655913979,37.634408602150536
Mexico City,9,September,17.211111111111112,23.50888888888889,12.692222222222222,7.573333333333333,14.317777777777776,71,77,37,2.311111111111111,90,78.88888888888889,85.55555555555556,41.11111111111111
Mexico City,10,October,16.361290322580643,22.955913978494625,11.381720430107526,3.158064516129032,16.648387096774194,30,59,54,2.4516129032258065,93,32.25806451612903,63.44086021505376,58.06451612903226
Mexico City,11,November,16.456666666666667,24.205555555555556,9.608888888888888,0.43444444444444447,15.260000000000002,8,76,75,2.8222222222222224,90,8.88888888888889,84.44444444444444,83.33333333333334
Mexico City,12,December,14.372043010752687,21.233333333333334,8.483870967741936,0.44086021505376344,13.19247311827957,12,35,35,2.3548387096774195,93,12.903225806451612,37.634408602150536,37.634408602150536
Oaxaca,1,January,18.363440860215054,26.72043010752688,11.064516129032258,0.0064516129032258064,14.56236559139785,0,87,87,2.935483870967742,93,0.0,93.54838709677419,93.54838709677419
Oaxaca,2,February,19.391764705882352,28.38470588235294,11.672941176470589,0.15058823529411763,16.040000000000003,2,66,65,2.764705882352941,85,2.3529411764705883,77.64705882352942,76.47058823529412
Oaxaca,3,March,22.03655913978495,30.925806451612903,14.256989247311829,0.06666666666666667,20.410752688172042,3,31,31,2.3010752688172045,93,3.225806451612903,33.33333333333333,33.33333333333333
Oaxaca,4,April,22.40111111111111,31.202222222222222,15.042222222222222,0.5777777777777777,19.61,12,21,20,2.1555555555555554,90,13.333333333333334,23.333333333333332,22.22222222222222
Oaxaca,5,May,23.363440860215057,31.891397849462365,16.59032258064516,1.796774193548387,18.493548387096777,23,23,14,2.096774193548387,93,24.731182795698924,24.731182795698924,15.053763440860216
Oaxaca,6,June,21.06888888888889,27.523333333333333,15.972222222222221,6.553333333333333,15.041111111111112,53,55,26,2.2111111111111112,90,58.88888888888889,61.111111111111114,28.888888888888886
Oaxaca,7,July,19.426881720430107,25.423655913978497,14.334408602150537,4.716129032258065,10.648387096774194,56,90,64,2.6666666666666665,93,60.215053763440864,96.7741935483871,68.81720430107528
Oaxaca,8,August,19.239784946236558,25.718279569892474,14.194623655913977,5.338709677419355,10.981720430107526,63,93,59,2.6344086021505375,93,67.74193548387096,100.0,63.44086021505376
Oaxaca,9,September,19.295555555555556,25.218888888888888,14.61111111111111,5.1066666666666665,11.078888888888889,58,86,58,2.611111111111111,90,64.44444444444444,95.55555555555556,64.44444444444444
Oaxaca,10,October,18.879569892473118,25.218279569892474,13.84731182795699,4.049462365591398,11.756989247311829,44,89,67,2.6774193548387095,93,47.31182795698925,95.6989247311828,72.04301075268818
Oaxaca,11,November,19.014444444444443,26.55,12.555555555555555,0.3622222222222222,11.972222222222221,11,87,86,2.9555555555555557,90,12.222222222222221,96.66666666666667,95.55555555555556
Oaxaca,12,December,17.555913978494623,25.11720430107527,11.081720430107525,0.17849462365591395,12.026881720430108,2,87,86,2.913978494623656,93,2.1505376344086025,93.54838709677419,92.47311827956989
Puerto Vallarta,1,January,21.446236559139784,26.077419354838707,17.482795698924733,0.2903225806451613,14.025806451612905,4,92,90,2.967741935483871,93,4.301075268817205,98.9247311827957,96.7741935483871
