city,year,month,month_name,average_temperature,average_high_temperature,average_low_temperature,average_temperature_range,total_precipitation,rainy_days,heavy_rain_days,hot_days,comfortable_days,average_max_wind_speed,average_tourism_score,number_of_days,rainy_day_percentage,hot_day_percentage,comfortable_day_percentage
Mexico City,2023,7,July,17.822580645161292,24.40967741935484,13.05483870967742,11.35483870967742,250.6,25,2,0,29,16.261290322580646,2.3548387096774195,31,80.64516129032258,0.0,93.54838709677419
Mexico City,2023,8,August,17.23548387096774,23.5258064516129,12.67741935483871,10.848387096774195,213.7,26,2,0,26,15.483870967741936,2.3870967741935485,31,83.87096774193549,0.0,83.87096774193549
Mexico City,2023,9,September,17.78666666666667,25.32,11.94,13.379999999999999,109.9,12,0,0,30,19.14,2.6666666666666665,30,40.0,0.0,100.0
Mexico City,2023,10,October,17.193548387096776,24.5258064516129,11.829032258064515,12.696774193548388,62.9,10,0,0,28,20.08709677419355,2.774193548387097,31,32.25806451612903,0.0,90.32258064516128
Mexico City,2023,11,November,16.173333333333332,24.65666666666667,9.353333333333333,15.303333333333333,21.599999999999998,5,0,0,25,19.616666666666667,2.8,30,16.666666666666664,0.0,83.33333333333334
Mexico City,2023,12,December,12.841935483870968,20.08709677419355,7.15483870967742,12.932258064516128,20.4,5,0,0,5,16.158064516129034,2.129032258064516,31,16.129032258064516,0.0,16.129032258064516
Mexico City,2024,1,January,14.951612903225806,23.787096774193547,7.561290322580645,16.225806451612904,0.2,0,0,0,26,18.687096774193545,2.838709677419355,31,0.0,0.0,83.87096774193549
Mexico City,2024,2,February,16.362068965517242,25.841379310344827,7.6482758620689655,18.193103448275863,10.9,1,0,0,26,18.879310344827587,2.8620689655172415,29,3.4482758620689653,0.0,89.65517241379311
Mexico City,2024,3,March,19.483870967741936,29.490322580645163,10.338709677419354,19.151612903225807,0.0,0,0,1,24,25.52258064516129,2.6451612903225805,31,0.0,3.225806451612903,77.41935483870968
Mexico City,2024,4,April,20.53666666666667,29.346666666666668,12.463333333333333,16.883333333333333,9.5,3,0,1,20,23.816666666666666,2.6,30,10.0,3.3333333333333335,66.66666666666666
Mexico City,2024,5,May,23.074193548387097,31.932258064516127,15.125806451612902,16.806451612903224,38.8,6,1,18,2,21.716129032258067,1.935483870967742,31,19.35483870967742,58.06451612903226,6.451612903225806
Mexico City,2024,6,June,20.436666666666667,27.746666666666666,14.379999999999999,13.366666666666667,182.5,14,2,2,11,21.203333333333333,1.9333333333333333,30,46.666666666666664,6.666666666666667,36.666666666666664
Mexico City,2024,7,July,17.116129032258065,22.416129032258063,13.106451612903227,9.30967741935484,315.6,29,2,0,18,13.796774193548387,1.8387096774193548,31,93.54838709677419,0.0,58.06451612903226
Mexico City,2024,8,August,17.006451612903227,22.93548387096774,12.919354838709678,10.016129032258064,292.4,29,3,0,27,14.861290322580645,2.161290322580645,31,93.54838709677419,0.0,87.09677419354838
Mexico City,2024,9,September,16.98,22.279999999999998,13.17,9.110000000000001,285.9,29,4,0,20,13.47,1.9666666666666666,30,96.66666666666667,0.0,66.66666666666666
Mexico City,2024,10,October,14.96774193548387,21.038709677419355,10.383870967741935,10.654838709677419,102.7,9,1,0,8,17.67096774193548,2.064516129032258,31,29.03225806451613,0.0,25.806451612903224
Mexico City,2024,11,November,16.793333333333333,24.663333333333334,9.403333333333334,15.26,7.2,1,0,0,28,13.379999999999999,2.933333333333333,30,3.3333333333333335,0.0,93.33333333333333
Mexico City,2024,12,December,15.319354838709677,22.467741935483872,8.780645161290321,13.687096774193549,8.299999999999999,2,0,0,21,12.064516129032258,2.6451612903225805,31,6.451612903225806,0.0,67.74193548387096
Mexico City,2025,1,January,15.519354838709678,22.712903225806453,9.245161290322581,13.46774193548387,10.0,2,0,0,20,12.587096774193547,2.6129032258064515,31,6.451612903225806,0.0,64.51612903225806
Mexico City,2025,2,February,16.978571428571428,23.785714285714285,10.764285714285714,13.021428571428572,15.9,4,0,0,21,12.549999999999999,2.7142857142857144,28,14.285714285714285,0.0,75.0
Mexico City,2025,3,March,19.925806451612903,27.70967741935484,12.774193548387096,14.935483870967742,7.5,3,0,0,31,14.338709677419354,3.0,31,9.67741935483871,0.0,100.0
Mexico City,2025,4,April,20.663333333333334,28.52,13.456666666666667,15.063333333333333,2.0,0,0,0,28,16.163333333333334,2.933333333333333,30,0.0,0.0,93.33333333333333
Mexico City,2025,5,May,20.73225806451613,27.31935483870968,15.283870967741937,12.035483870967743,136.1,16,3,2,20,13.764516129032257,2.4516129032258065,31,51.61290322580645,6.451612903225806,64.51612903225806
